participant,trial_name,stair_height,direction,trans_leg,start_time,end_time
AB15,stair_2_r_01_02,5,descent,rl,31.75,33.925
AB15,stair_2_l_01_04,5,descent,rr,55.03,59.78
AB15,stair_3_l_01_05,6,ascent,lr,63.665,64.88
AB15,stair_3_r_01_02,6,ascent,rl,22.9,25.19
AB15,stair_3_l_01_01,6,descent,lr,14.315,15.28
AB15,stair_3_r_02_02,6,descent,rl,29.33,31.415
AB15,stair_4_l_01_01,7,ascent,lr,13.735,15.035
AB15,stair_4_r_01_01,7,ascent,rl,11.95,14.38
AB15,stair_4_l_01_05,7,descent,lr,77.545,78.635
AB15,stair_4_r_01_05,7,descent,rl,68.7,70.675
AB16,stair_1_l_01_02,4,ascent,lr,29.345,30.78
AB16,stair_1_r_01_03,4,ascent,rl,49.665,52.59
AB16,stair_1_l_01_03,4,descent,lr,55.995,57.29
AB16,stair_1_r_01_01,4,descent,rl,19.555,22.165
AB16,stair_2_l_01_03,5,ascent,lr,45.635,46.995
AB16,stair_2_r_01_03,5,ascent,rl,45.495,48.2
AB16,stair_2_l_01_05,5,descent,lr,88.37,89.705
AB16,stair_2_r_01_04,5,descent,rl,70.22,72.68
AB16,stair_3_l_01_03,6,ascent,lr,46.495,47.855
AB16,stair_3_r_01_02,6,ascent,rl,27.585,30.41
AB16,stair_3_l_01_01,6,descent,lr,22.365,23.595
AB16,stair_3_r_01_04,6,descent,rl,69.495,72.07
AB16,stair_4_l_01_03,7,ascent,lr,42.39,43.735
AB16,stair_4_r_01_03,7,ascent,rl,46.775,49.47
AB16,stair_4_l_01_04,7,descent,lr,65.955,67.2
AB16,stair_4_r_01_03,7,descent,rl,54.795,57.29
AB17,stair_1_l_01_01,4,ascent,lr,9.05,10.3
AB17,stair_1_r_01_01,4,ascent,rl,10.675,13.535
AB17,stair_1_l_01_06,4,descent,lr,91.485,92.605
AB17,stair_1_r_01_04,4,descent,rl,67.91,70.395
AB17,stair_2_l_01_03,5,ascent,lr,36.145,37.28
AB17,stair_2_r_01_05,5,ascent,rl,64.52,67.11
AB17,stair_2_l_01_04,5,descent,lr,54.945,56.04
AB17,stair_2_r_01_02,5,descent,rl,31.185,33.485
AB17,stair_3_l_01_02,6,ascent,lr,28.47,29.71
AB17,stair_3_r_01_05,6,ascent,rl,65.145,67.535
AB17,stair_3_l_01_05,6,descent,lr,72.82,74.005
AB17,stair_3_r_01_02,6,descent,rl,30.905,33.315
AB17,stair_4_l_01_05,7,ascent,lr,58.34,59.525
AB17,stair_4_r_01_05,7,ascent,rl,61.95,64.14
AB17,stair_4_l_01_06,7,descent,lr,77.06,78.105
AB17,stair_4_r_01_02,7,descent,rl,30.91,32.985
AB18,stair_1_l_01_05,4,ascent,lr,71.07,72.12
AB18,stair_1_r_01_03,4,ascent,rl,43.02,45.04
AB18,stair_1_l_01_04,4,descent,lr,64.495,65.43
AB18,stair_1_r_01_01,4,descent,rl,20.385,22.38
AB18,stair_2_l_01_02,5,ascent,lr,28.05,29.095
AB18,stair_2_r_01_03,5,ascent,rl,38.665,40.62
AB18,stair_2_l_01_05,5,descent,lr,78.06,79.025
AB18,stair_2_r_01_05,5,descent,rl,71.81,73.595
AB18,stair_3_l_01_01,6,ascent,lr,11.32,12.3
AB18,stair_3_r_01_05,6,ascent,rl,73.145,75.3
AB18,stair_3_l_02_03,6,descent,lr,49.22,50.21
AB18,stair_3_r_01_04,6,descent,rl,66.155,68.215
AB18,stair_4_l_01_02,7,ascent,lr,25.795,26.77
AB18,stair_4_r_01_01,7,ascent,rl,10.54,12.675
AB18,stair_4_l_01_06,7,descent,lr,89.825,90.725
AB18,stair_4_r_01_03,7,descent,rl,48.04,49.945
AB19,stair_1_l_01_05,4,ascent,lr,75.07,76.49
AB19,stair_1_r_01_03,4,ascent,rl,48.19,50.645
AB19,stair_1_l_01_01,4,descent,lr,18.715,19.775
AB19,stair_1_r_01_01,4,descent,rl,20.01,22.85
AB19,stair_2_l_01_01,5,ascent,lr,11.64,12.84
AB19,stair_2_r_01_05,5,ascent,rl,79.3,81.775
AB19,stair_2_l_01_04,5,descent,lr,61.465,62.61
AB19,stair_2_r_01_06,5,descent,rl,101.88,103.96
AB19,stair_3_l_01_03,6,ascent,lr,38.0,39.075
AB19,stair_3_r_01_05,6,ascent,rl,72.195,74.53
AB19,stair_3_l_01_01,6,descent,lr,17.145,18.09
AB19,stair_3_r_01_03,6,descent,rl,49.51,51.495
AB19,stair_4_l_01_01,7,ascent,lr,10.525,11.72
AB19,stair_4_r_01_02,7,ascent,rl,26.405,28.985
AB19,stair_4_l_01_04,7,descent,lr,64.38,65.51
AB19,stair_4_r_01_02,7,descent,rl,34.575,36.88
AB20,stair_1_l_02_01,4,ascent,lr,10.18,11.31
AB20,stair_1_r_01_04,4,ascent,rl,70.96,73.18
AB20,stair_1_l_01_01,4,descent,lr,19.105,19.985
AB20,stair_1_r_01_02,4,descent,rl,39.56,41.7
AB20,stair_2_l_01_01,5,ascent,lr,8.69,9.875
AB20,stair_2_r_02_03,5,ascent,rl,51.19,54.01
AB20,stair_2_l_02_01,5,descent,lr,18.33,19.495
AB20,stair_2_r_02_02,5,descent,rl,42.37,44.83
AB20,stair_3_l_02_01,6,ascent,lr,17.48,18.64
AB20,stair_3_r_01_05,6,ascent,rl,76.68,79.185
AB20,stair_3_l_01_01,6,descent,lr,20.67,21.85
AB20,stair_3_r_01_06,6,descent,rl,106.965,109.255
AB20,stair_4_l_01_03,7,ascent,lr,46.195,47.385
AB20,stair_4_r_01_02,7,ascent,rl,23.525,26.08
AB20,stair_4_l_01_03,7,descent,lr,54.44,55.635
AB20,stair_4_r_01_05,7,descent,rl,83.825,86.38
AB21,stair_1_l_01_05,4,ascent,lr,71.04,72.135
AB21,stair_1_r_01_04,4,ascent,rl,53.155,55.37
AB21,stair_1_l_01_01,4,descent,lr,22.69,23.65
AB21,stair_1_r_01_02,4,descent,rl,32.725,34.665
AB21,stair_2_l_01_05,5,ascent,lr,63.64,64.68
AB21,stair_2_r_01_03,5,ascent,rl,34.87,36.965
AB21,stair_2_l_01_01,5,descent,lr,19.96,20.96
AB21,stair_2_r_01_05,5,descent,rl,65.83,67.79
AB21,stair_3_l_01_02,6,ascent,lr,22.865,23.99
AB21,stair_3_r_01_03,6,ascent,rl,35.455,37.79
AB21,stair_3_l_03_02,6,descent,lr,30.235,31.21
AB21,stair_3_r_01_05,6,descent,rl,68.705,70.76
AB21,stair_4_l_01_05,7,ascent,lr,68.885,70.12
AB21,stair_4_r_01_01,7,ascent,rl,10.91,13.28
AB21,stair_4_l_01_02,7,descent,lr,34.255,35.33
AB21,stair_4_r_01_02,7,descent,rl,32.4,34.625
AB23,stair_1_l_01_03,4,ascent,lr,51.9,53.265
AB23,stair_1_r_01_03,4,ascent,rl,51.925,54.74
AB23,stair_1_l_01_02,4,descent,lr,39.32,40.53
AB23,stair_1_r_01_01,4,descent,rl,22.775,25.16
AB23,stair_2_l_01_03,5,ascent,lr,41.415,42.64
AB23,stair_2_r_01_02,5,ascent,rl,25.705,28.2
AB23,stair_2_l_01_02,5,descent,lr,33.26,34.285
AB23,stair_2_r_02_02,5,descent,rl,32.905,35.145
AB23,stair_3_l_01_03,6,ascent,lr,44.28,45.515
AB23,stair_3_r_01_02,6,ascent,rl,30.575,33.09
AB23,stair_3_l_01_05,6,descent,lr,87.15,88.1
AB23,stair_3_r_01_02,6,descent,rl,38.98,41.16
AB23,stair_4_l_01_02,7,ascent,lr,27.69,28.74
AB23,stair_4_r_01_04,7,ascent,rl,57.93,60.135
AB23,stair_4_r_01_04,7,descent,ll,66.145,67.205
AB23,stair_4_l_01_01,7,descent,lr,19.69,20.85
AB23,stair_4_r_01_02,7,descent,rl,34.645,36.86
AB24,stair_1_l_01_02,4,ascent,lr,24.26,25.41
AB24,stair_1_r_01_04,4,ascent,rl,63.41,65.82
AB24,stair_1_l_01_05,4,descent,lr,83.15,84.235
AB24,stair_1_r_01_03,4,descent,rl,55.19,57.415
AB24,stair_2_l_01_03,5,ascent,lr,42.77,43.87
AB24,stair_2_r_01_01,5,ascent,rl,10.205,12.57
AB24,stair_2_l_01_01,5,descent,lr,18.925,20.005
AB24,stair_2_r_01_05,5,descent,rl,85.93,88.15
AB24,stair_3_l_01_05,6,ascent,lr,76.0,77.135
AB24,stair_3_r_01_02,6,ascent,rl,23.215,25.555
AB24,stair_3_l_01_02,6,descent,lr,32.505,33.54
AB24,stair_3_r_01_04,6,descent,rl,66.575,68.76
AB24,stair_4_l_01_02,7,ascent,lr,25.91,27.045
AB24,stair_4_r_01_01,7,ascent,rl,11.555,13.92
AB24,stair_4_l_01_01,7,descent,lr,17.485,18.58
AB24,stair_4_r_01_05,7,descent,rl,90.885,93.14
AB25,Stair_1_L_01_02,4,ascent,lr,24.1,25.28
AB25,Stair_1_R_01_02,4,ascent,rl,28.24,30.905
AB25,Stair_1_L_01_05,4,descent,lr,80.325,81.51
AB25,Stair_1_R_01_02,4,descent,rl,36.63,38.855
AB25,Stair_2_L_01_04,5,ascent,lr,52.76,53.96
AB25,Stair_2_R_01_01,5,ascent,rl,17.59,20.045
AB25,Stair_2_L_01_03,5,descent,lr,45.17,46.32
AB25,Stair_2_R_01_02,5,descent,rl,91.05,93.17
AB25,Stair_3_L_01_02,6,ascent,lr,22.225,23.495
AB25,Stair_3_R_01_03,6,ascent,rl,37.01,39.28
AB25,Stair_3_L_01_05,6,descent,lr,76.62,77.84
AB25,Stair_3_R_01_03,6,descent,rl,44.025,46.29
AB25,Stair_4_L_01_03,7,ascent,lr,38.13,39.41
AB25,Stair_4_R_01_02,7,ascent,rl,27.405,29.86
AB25,Stair_4_L_01_04,7,descent,lr,62.31,63.37
AB25,Stair_4_R_01_02,7,descent,rl,35.05,37.395
AB27,stair_1_l_01_05,4,ascent,lr,84.865,86.19
AB27,stair_1_r_01_02,4,ascent,rl,32.25,35.255
AB27,stair_1_l_01_05,4,descent,lr,92.86,94.145
AB27,stair_1_r_01_03,4,descent,rl,57.905,60.125
AB27,stair_2_l_01_05,5,ascent,lr,77.18,78.565
AB27,stair_2_r_01_02,5,ascent,rl,24.535,27.445
AB27,stair_2_l_01_02,5,descent,lr,34.85,36.345
AB27,stair_2_r_02_01,5,descent,rl,17.47,20.155
AB27,stair_3_l_01_05,6,ascent,lr,89.025,90.875
AB27,stair_3_r_01_03,6,ascent,rl,45.345,48.395
AB27,stair_3_l_01_04,6,descent,lr,74.59,76.225
AB27,stair_3_r_01_01,6,descent,rl,19.64,22.515
AB27,stair_4_l_01_04,7,ascent,lr,65.08,67.575
AB27,stair_4_r_01_01,7,ascent,rl,12.445,15.73
AB27,stair_4_l_01_05,7,descent,lr,94.705,96.715
AB27,stair_4_r_02_03,7,descent,rl,54.5,57.73
AB28,Stair_1_L_01_01,4,ascent,lr,10.08,11.305
AB28,Stair_1_R_01_05,4,ascent,rl,68.59,71.15
AB28,Stair_1_L_01_02,4,descent,lr,30.855,31.985
AB28,Stair_1_R_01_05,4,descent,rl,75.47,77.805
AB28,Stair_2_L_01_03,5,ascent,lr,40.93,42.095
AB28,Stair_2_R_01_03,5,ascent,rl,34.59,37.07
AB28,Stair_2_L_01_05,5,descent,lr,74.075,75.13
AB28,Stair_2_R_01_05,5,descent,rl,68.235,70.545
AB28,Stair_3_L_01_02,6,ascent,lr,29.05,30.2
AB28,Stair_3_R_01_05,6,ascent,rl,62.265,64.675
AB28,Stair_3_L_01_04,6,descent,lr,60.04,61.145
AB28,Stair_3_R_01_03,6,descent,rl,42.6,44.765
AB28,Stair_4_L_01_04,7,ascent,lr,56.38,57.635
AB28,Stair_4_R_01_03,7,ascent,rl,37.505,39.98
AB28,Stair_4_L_01_02,7,descent,lr,36.095,37.225
AB28,Stair_4_R_01_04,7,descent,rl,58.39,60.635
